x	y	name	color	
15854.472813868877	59220.47129494587	12	-65536
24421.507329924658	51629.43804018693	13	-65536
9781.5224609375	88479.421875	6	-65536
8635.495428284423	71662.48100175506	10	-65536
44932.515625	30787.486328125	4	-65536
24812.62109375	106624.5546875	5	-65536
26920.52939260191	43445.45933997161	11	-65536
55986.470382499785	47270.4797818698	8	-65536
10969.602903327786	126901.2884048549	14	-65536
63746.4765625	112340.546875	3	-65536
44640.5078125	62234.5078125	2	-65536
40535.509908795815	139600.49508553947	1	-65536
41662.51612760011	109973.46449494959	15	-65536
28631.594048142197	62259.38546636761	9	-65536
73390.49313178576	80226.49198234927	7	-65536
